episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,5,5000,5000,False,0,1,7947af76ae4749fea36efcce7d4f0b42,2021-04-11_11-39-30,1618166370,382.3053843975067,382.3053843975067,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,382.3053843975067,0,1,[],[],3605.755,1386.672,645.295,7748.39,377834.515,13.233,16.72,5000,5000,5000,5000,13.287179487179486,10.95970695970696,0.20000000298023224,4.999999873689376e-05,0.82526547,-0.047209308,0.8489383,0.7256303,0.11768219,1.207997,0.0
350.0,150.0,252.5,1350.8,20,5,10000,10000,False,20,2,7947af76ae4749fea36efcce7d4f0b42,2021-04-11_11-45-50,1618166750,380.08283376693726,762.388218164444,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,762.388218164444,0,2,"[250.0, 250.0, 250.0, 300.0, 250.0, 150.0, 175.0, 250.0, 225.0, 150.0, 150.0, 325.0, 300.0, 225.0, 225.0, 325.0, 350.0, 325.0, 225.0, 350.0]","[1217, 1277, 1464, 1480, 1274, 1309, 1354, 1374, 1415, 1162, 1284, 1280, 1315, 1529, 1240, 1240, 1420, 1395, 1415, 1572]",3525.829,1418.106,408.42,12242.286,377074.891,13.26,13.676,10000,10000,10000,10000,13.330627306273062,11.661623616236163,0.30000001192092896,4.999999873689376e-05,0.52331316,-0.078586325,0.59015834,0.78371054,0.03913727,1.1533659,0.0
725.0,125.0,295.5357142857143,1387.3214285714287,8,5,15000,15000,False,28,3,7947af76ae4749fea36efcce7d4f0b42,2021-04-11_11-52-10,1618167130,379.4021062850952,1141.7903244495392,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,1141.7903244495392,0,3,"[250.0, 250.0, 250.0, 300.0, 250.0, 150.0, 175.0, 250.0, 225.0, 150.0, 150.0, 325.0, 300.0, 225.0, 225.0, 325.0, 350.0, 325.0, 225.0, 350.0, 375.0, 125.0, 225.0, 725.0, 625.0, 125.0, 600.0, 425.0]","[1217, 1277, 1464, 1480, 1274, 1309, 1354, 1374, 1415, 1162, 1284, 1280, 1315, 1529, 1240, 1240, 1420, 1395, 1415, 1572, 1585, 1057, 1277, 1577, 1732, 1039, 1602, 1960]",3448.991,1449.699,327.383,15272.652,376645.304,13.275,11.975,15000,15000,15000,15000,13.378558225508318,11.66876155268022,0.44999998807907104,4.999999873689376e-05,0.24873996,-0.074446805,0.30460078,0.87634677,0.041302178,1.1794705,0.0
725.0,125.0,302.22222222222223,1399.6666666666667,17,5,20000,20000,False,45,4,7947af76ae4749fea36efcce7d4f0b42,2021-04-11_11-58-30,1618167510,380.49677324295044,1522.2870976924896,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,1522.2870976924896,0,4,"[250.0, 250.0, 250.0, 300.0, 250.0, 150.0, 175.0, 250.0, 225.0, 150.0, 150.0, 325.0, 300.0, 225.0, 225.0, 325.0, 350.0, 325.0, 225.0, 350.0, 375.0, 125.0, 225.0, 725.0, 625.0, 125.0, 600.0, 425.0, 300.0, 275.0, 250.0, 225.0, 250.0, 375.0, 375.0, 150.0, 325.0, 525.0, 175.0, 275.0, 175.0, 575.0, 300.0, 425.0, 350.0]","[1217, 1277, 1464, 1480, 1274, 1309, 1354, 1374, 1415, 1162, 1284, 1280, 1315, 1529, 1240, 1240, 1420, 1395, 1415, 1572, 1585, 1057, 1277, 1577, 1732, 1039, 1602, 1960, 1395, 1180, 1345, 1390, 1335, 1437, 1825, 1094, 1562, 1784, 1170, 1415, 1309, 1474, 1254, 1637, 1534]",3435.934,1455.208,292.363,17102.021,376674.332,13.274,11.417,20000,20000,20000,20000,13.479189686924494,11.67292817679558,0.675000011920929,4.999999873689376e-05,0.3477614,-0.0911118,0.41820028,0.84198475,0.030626511,1.1480656,0.0
725.0,125.0,311.4035087719298,1438.4561403508771,12,5,25000,25000,False,57,5,7947af76ae4749fea36efcce7d4f0b42,2021-04-11_12-04-51,1618167891,380.22463393211365,1902.5117316246033,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,1902.5117316246033,0,5,"[250.0, 250.0, 250.0, 300.0, 250.0, 150.0, 175.0, 250.0, 225.0, 150.0, 150.0, 325.0, 300.0, 225.0, 225.0, 325.0, 350.0, 325.0, 225.0, 350.0, 375.0, 125.0, 225.0, 725.0, 625.0, 125.0, 600.0, 425.0, 300.0, 275.0, 250.0, 225.0, 250.0, 375.0, 375.0, 150.0, 325.0, 525.0, 175.0, 275.0, 175.0, 575.0, 300.0, 425.0, 350.0, 475.0, 300.0, 275.0, 300.0, 425.0, 425.0, 200.0, 325.0, 325.0, 275.0, 325.0, 500.0]","[1217, 1277, 1464, 1480, 1274, 1309, 1354, 1374, 1415, 1162, 1284, 1280, 1315, 1529, 1240, 1240, 1420, 1395, 1415, 1572, 1585, 1057, 1277, 1577, 1732, 1039, 1602, 1960, 1395, 1180, 1345, 1390, 1335, 1437, 1825, 1094, 1562, 1784, 1170, 1415, 1309, 1474, 1254, 1637, 1534, 2277, 1240, 1272, 1327, 1997, 2137, 1299, 1215, 1475, 1464, 1320, 1984]",3410.157,1466.208,268.48,18623.327,376651.198,13.275,11.165,25000,25000,25000,25000,13.427490774907747,11.669741697416974,1.0125000476837158,4.999999873689376e-05,0.15473996,-0.101128355,0.2341236,0.9138788,0.021476274,1.1319735,0.0
950.0,125.0,327.8169014084507,1463.9859154929577,14,5,30000,30000,False,71,6,7947af76ae4749fea36efcce7d4f0b42,2021-04-11_12-11-10,1618168270,378.98436403274536,2281.4960956573486,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,2281.4960956573486,0,6,"[250.0, 250.0, 250.0, 300.0, 250.0, 150.0, 175.0, 250.0, 225.0, 150.0, 150.0, 325.0, 300.0, 225.0, 225.0, 325.0, 350.0, 325.0, 225.0, 350.0, 375.0, 125.0, 225.0, 725.0, 625.0, 125.0, 600.0, 425.0, 300.0, 275.0, 250.0, 225.0, 250.0, 375.0, 375.0, 150.0, 325.0, 525.0, 175.0, 275.0, 175.0, 575.0, 300.0, 425.0, 350.0, 475.0, 300.0, 275.0, 300.0, 425.0, 425.0, 200.0, 325.0, 325.0, 275.0, 325.0, 500.0, 200.0, 150.0, 375.0, 400.0, 950.0, 375.0, 350.0, 375.0, 450.0, 375.0, 275.0, 300.0, 300.0, 650.0]","[1217, 1277, 1464, 1480, 1274, 1309, 1354, 1374, 1415, 1162, 1284, 1280, 1315, 1529, 1240, 1240, 1420, 1395, 1415, 1572, 1585, 1057, 1277, 1577, 1732, 1039, 1602, 1960, 1395, 1180, 1345, 1390, 1335, 1437, 1825, 1094, 1562, 1784, 1170, 1415, 1309, 1474, 1254, 1637, 1534, 2277, 1240, 1272, 1327, 1997, 2137, 1299, 1215, 1475, 1464, 1320, 1984, 1235, 1084, 1564, 1840, 2115, 1492, 1734, 1484, 1769, 1354, 1249, 1627, 1489, 1915]",3413.329,1464.846,254.815,19622.04,376407.246,13.283,11.053,30000,30000,30000,30000,13.254713493530499,11.686691312384474,1.5187499523162842,4.999999873689376e-05,0.47841072,-0.07470019,0.52404827,0.79778457,0.01913586,1.1591496,0.0
950.0,125.0,337.34939759036143,1465.7228915662652,12,5,35000,35000,False,83,7,7947af76ae4749fea36efcce7d4f0b42,2021-04-11_12-17-29,1618168649,379.4807827472687,2660.9768784046173,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,2660.9768784046173,0,7,"[250.0, 250.0, 250.0, 300.0, 250.0, 150.0, 175.0, 250.0, 225.0, 150.0, 150.0, 325.0, 300.0, 225.0, 225.0, 325.0, 350.0, 325.0, 225.0, 350.0, 375.0, 125.0, 225.0, 725.0, 625.0, 125.0, 600.0, 425.0, 300.0, 275.0, 250.0, 225.0, 250.0, 375.0, 375.0, 150.0, 325.0, 525.0, 175.0, 275.0, 175.0, 575.0, 300.0, 425.0, 350.0, 475.0, 300.0, 275.0, 300.0, 425.0, 425.0, 200.0, 325.0, 325.0, 275.0, 325.0, 500.0, 200.0, 150.0, 375.0, 400.0, 950.0, 375.0, 350.0, 375.0, 450.0, 375.0, 275.0, 300.0, 300.0, 650.0, 300.0, 625.0, 350.0, 300.0, 900.0, 675.0, 200.0, 250.0, 275.0, 175.0, 350.0, 325.0]","[1217, 1277, 1464, 1480, 1274, 1309, 1354, 1374, 1415, 1162, 1284, 1280, 1315, 1529, 1240, 1240, 1420, 1395, 1415, 1572, 1585, 1057, 1277, 1577, 1732, 1039, 1602, 1960, 1395, 1180, 1345, 1390, 1335, 1437, 1825, 1094, 1562, 1784, 1170, 1415, 1309, 1474, 1254, 1637, 1534, 2277, 1240, 1272, 1327, 1997, 2137, 1299, 1215, 1475, 1464, 1320, 1984, 1235, 1084, 1564, 1840, 2115, 1492, 1734, 1484, 1769, 1354, 1249, 1627, 1489, 1915, 1280, 1575, 1444, 1614, 2022, 1770, 1152, 1230, 1287, 1257, 1537, 1544]",3396.57,1472.073,244.072,20485.787,376322.812,13.286,10.912,35000,35000,35000,35000,13.286691312384473,11.693530499075788,1.5187499523162842,4.999999873689376e-05,0.41868988,-0.0915891,0.48559755,0.8510265,0.01625113,1.1375258,0.0
950.0,125.0,349.74226804123714,1491.721649484536,14,5,40000,40000,False,97,8,7947af76ae4749fea36efcce7d4f0b42,2021-04-11_12-23-48,1618169028,379.39843344688416,3040.3753118515015,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,3040.3753118515015,0,8,"[250.0, 250.0, 250.0, 300.0, 250.0, 150.0, 175.0, 250.0, 225.0, 150.0, 150.0, 325.0, 300.0, 225.0, 225.0, 325.0, 350.0, 325.0, 225.0, 350.0, 375.0, 125.0, 225.0, 725.0, 625.0, 125.0, 600.0, 425.0, 300.0, 275.0, 250.0, 225.0, 250.0, 375.0, 375.0, 150.0, 325.0, 525.0, 175.0, 275.0, 175.0, 575.0, 300.0, 425.0, 350.0, 475.0, 300.0, 275.0, 300.0, 425.0, 425.0, 200.0, 325.0, 325.0, 275.0, 325.0, 500.0, 200.0, 150.0, 375.0, 400.0, 950.0, 375.0, 350.0, 375.0, 450.0, 375.0, 275.0, 300.0, 300.0, 650.0, 300.0, 625.0, 350.0, 300.0, 900.0, 675.0, 200.0, 250.0, 275.0, 175.0, 350.0, 325.0, 325.0, 900.0, 175.0, 700.0, 250.0, 725.0, 375.0, 375.0, 300.0, 250.0, 375.0, 575.0, 275.0, 325.0]","[1217, 1277, 1464, 1480, 1274, 1309, 1354, 1374, 1415, 1162, 1284, 1280, 1315, 1529, 1240, 1240, 1420, 1395, 1415, 1572, 1585, 1057, 1277, 1577, 1732, 1039, 1602, 1960, 1395, 1180, 1345, 1390, 1335, 1437, 1825, 1094, 1562, 1784, 1170, 1415, 1309, 1474, 1254, 1637, 1534, 2277, 1240, 1272, 1327, 1997, 2137, 1299, 1215, 1475, 1464, 1320, 1984, 1235, 1084, 1564, 1840, 2115, 1492, 1734, 1484, 1769, 1354, 1249, 1627, 1489, 1915, 1280, 1575, 1444, 1614, 2022, 1770, 1152, 1230, 1287, 1257, 1537, 1544, 1739, 1740, 1119, 2769, 1384, 1950, 1527, 1720, 1490, 1395, 2055, 1265, 1359, 1530]",3381.224,1478.755,234.839,21291.18,376250.895,13.289,11.564,40000,40000,40000,40000,13.450277264325324,11.677818853974124,1.5187499523162842,4.999999873689376e-05,0.0908631,-0.109454684,0.1740742,0.94819,0.017279716,1.1520139,0.0
950.0,125.0,375.75,1518.51,12,5,45000,45000,False,109,9,7947af76ae4749fea36efcce7d4f0b42,2021-04-11_12-30-07,1618169407,378.69162154197693,3419.0669333934784,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,3419.0669333934784,0,9,"[150.0, 150.0, 325.0, 300.0, 225.0, 225.0, 325.0, 350.0, 325.0, 225.0, 350.0, 375.0, 125.0, 225.0, 725.0, 625.0, 125.0, 600.0, 425.0, 300.0, 275.0, 250.0, 225.0, 250.0, 375.0, 375.0, 150.0, 325.0, 525.0, 175.0, 275.0, 175.0, 575.0, 300.0, 425.0, 350.0, 475.0, 300.0, 275.0, 300.0, 425.0, 425.0, 200.0, 325.0, 325.0, 275.0, 325.0, 500.0, 200.0, 150.0, 375.0, 400.0, 950.0, 375.0, 350.0, 375.0, 450.0, 375.0, 275.0, 300.0, 300.0, 650.0, 300.0, 625.0, 350.0, 300.0, 900.0, 675.0, 200.0, 250.0, 275.0, 175.0, 350.0, 325.0, 325.0, 900.0, 175.0, 700.0, 250.0, 725.0, 375.0, 375.0, 300.0, 250.0, 375.0, 575.0, 275.0, 325.0, 625.0, 275.0, 300.0, 325.0, 375.0, 600.0, 750.0, 700.0, 200.0, 575.0, 625.0, 400.0]","[1162, 1284, 1280, 1315, 1529, 1240, 1240, 1420, 1395, 1415, 1572, 1585, 1057, 1277, 1577, 1732, 1039, 1602, 1960, 1395, 1180, 1345, 1390, 1335, 1437, 1825, 1094, 1562, 1784, 1170, 1415, 1309, 1474, 1254, 1637, 1534, 2277, 1240, 1272, 1327, 1997, 2137, 1299, 1215, 1475, 1464, 1320, 1984, 1235, 1084, 1564, 1840, 2115, 1492, 1734, 1484, 1769, 1354, 1249, 1627, 1489, 1915, 1280, 1575, 1444, 1614, 2022, 1770, 1152, 1230, 1287, 1257, 1537, 1544, 1739, 1740, 1119, 2769, 1384, 1950, 1527, 1720, 1490, 1395, 2055, 1265, 1359, 1530, 1534, 1682, 1552, 1290, 1585, 1637, 2059, 1672, 1280, 1620, 1610, 1797]",3374.132,1481.863,228.842,21849.162,376112.252,13.294,11.391,45000,45000,45000,45000,13.448703703703703,11.693333333333333,1.5187499523162842,4.999999873689376e-05,0.24509403,-0.100418866,0.32207844,0.90588593,0.015430029,1.1360351,0.0
950.0,125.0,399.5,1557.59,13,5,50000,50000,False,122,10,7947af76ae4749fea36efcce7d4f0b42,2021-04-11_12-36-27,1618169787,379.261839389801,3798.3287727832794,3387,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,3798.3287727832794,0,10,"[225.0, 725.0, 625.0, 125.0, 600.0, 425.0, 300.0, 275.0, 250.0, 225.0, 250.0, 375.0, 375.0, 150.0, 325.0, 525.0, 175.0, 275.0, 175.0, 575.0, 300.0, 425.0, 350.0, 475.0, 300.0, 275.0, 300.0, 425.0, 425.0, 200.0, 325.0, 325.0, 275.0, 325.0, 500.0, 200.0, 150.0, 375.0, 400.0, 950.0, 375.0, 350.0, 375.0, 450.0, 375.0, 275.0, 300.0, 300.0, 650.0, 300.0, 625.0, 350.0, 300.0, 900.0, 675.0, 200.0, 250.0, 275.0, 175.0, 350.0, 325.0, 325.0, 900.0, 175.0, 700.0, 250.0, 725.0, 375.0, 375.0, 300.0, 250.0, 375.0, 575.0, 275.0, 325.0, 625.0, 275.0, 300.0, 325.0, 375.0, 600.0, 750.0, 700.0, 200.0, 575.0, 625.0, 400.0, 250.0, 425.0, 400.0, 425.0, 625.0, 675.0, 225.0, 650.0, 600.0, 450.0, 275.0, 450.0, 375.0]","[1277, 1577, 1732, 1039, 1602, 1960, 1395, 1180, 1345, 1390, 1335, 1437, 1825, 1094, 1562, 1784, 1170, 1415, 1309, 1474, 1254, 1637, 1534, 2277, 1240, 1272, 1327, 1997, 2137, 1299, 1215, 1475, 1464, 1320, 1984, 1235, 1084, 1564, 1840, 2115, 1492, 1734, 1484, 1769, 1354, 1249, 1627, 1489, 1915, 1280, 1575, 1444, 1614, 2022, 1770, 1152, 1230, 1287, 1257, 1537, 1544, 1739, 1740, 1119, 2769, 1384, 1950, 1527, 1720, 1490, 1395, 2055, 1265, 1359, 1530, 1534, 1682, 1552, 1290, 1585, 1637, 2059, 1672, 1280, 1620, 1610, 1797, 1217, 1964, 1689, 1940, 1482, 1660, 1250, 1737, 1599, 1690, 1460, 2089, 1625]",3367.616,1484.73,222.837,22437.957,376058.984,13.296,11.263,50000,50000,50000,50000,13.37855822550832,11.680591497227356,1.5187499523162842,4.999999873689376e-05,0.37816957,-0.093911394,0.44811606,0.8936374,0.015779402,1.1135173,0.0
